Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
585.0356108,-0.02873042,0.16759412,9.751583099
585.0856108,-0.026336219,0.165199921,9.751583099
585.1356108,-0.019153614,0.16759412,9.765948296
585.1856108,-0.023942016,0.165199921,9.749189377
585.2356108,-0.021547815,0.16759412,9.756371498
585.2856108,-0.021547815,0.172382519,9.765948296
585.3356108,-0.026336219,0.165199921,9.744400978
585.3856108,-0.02873042,0.169988319,9.753977776
585.4356108,-0.016759412,0.169988319,9.753977776
585.4856108,-0.019153614,0.16759412,9.749189377
585.5356108,-0.033518825,0.169988319,9.753977776
585.5856108,-0.016759412,0.162805721,9.763554573
585.6356108,-0.026336219,0.174776718,9.749189377
585.6856108,-0.019153614,0.179565132,9.763554573
585.7356108,-0.016759412,0.177170932,9.751583099
585.7856108,-0.019153614,0.16759412,9.751583099
585.8356108,-0.011971008,0.177170932,9.749189377
585.8856108,-0.023942016,0.16759412,9.751583099
585.9356108,-0.016759412,0.177170932,9.737217903
585.9856108,-0.021547815,0.174776718,9.761159897
586.0356108,-0.035913024,0.174776718,9.742006302
586.0856108,-0.02873042,0.165199921,9.753977776
586.1356108,-0.023942016,0.165199921,9.751583099
586.1856108,-0.019153614,0.158017308,9.758766174
586.2356108,-0.033518825,0.16759412,9.746794701
586.2856108,-0.021547815,0.174776718,9.744400978
586.3356108,-0.031124622,0.169988319,9.746794701
586.3856108,-0.031124622,0.162805721,9.758766174
586.4356108,-0.011971008,0.181959331,9.746794701
586.4856108,-0.019153614,0.172382519,9.758766174
586.5356108,-0.033518825,0.172382519,9.742006302
586.5856108,-0.019153614,0.174776718,9.756371498
586.6356108,-0.021547815,0.174776718,9.744400978
586.6856108,-0.019153614,0.172382519,9.749189377
586.7356108,-0.026336219,0.169988319,9.751583099
586.7856108,-0.021547815,0.177170932,9.761159897
586.8356108,-0.021547815,0.172382519,9.749189377
586.8856108,-0.031124622,0.16759412,9.758766174
586.9356108,-0.035913024,0.169988319,9.756371498
586.9856108,-0.016759412,0.162805721,9.737217903
587.0356108,-0.019153614,0.165199921,9.765948296
587.0856108,-0.019153614,0.169988319,9.753977776
587.1356108,-0.021547815,0.174776718,9.749189377
587.1856108,-0.026336219,0.160411507,9.749189377
587.2356108,-0.026336219,0.177170932,9.753977776
587.2856108,-0.031124622,0.165199921,9.753977776
587.3356108,-0.026336219,0.181959331,9.751583099
587.3856108,-0.016759412,0.165199921,9.753977776
587.4356108,-0.021547815,0.169988319,9.744400978
587.4856108,-0.021547815,0.160411507,9.744400978
587.5356108,-0.021547815,0.162805721,9.753977776
587.5856108,-0.026336219,0.165199921,9.753977776
587.6356108,-0.019153614,0.158017308,9.758766174
587.6856108,-0.021547815,0.162805721,9.763554573
587.7356108,-0.02873042,0.16759412,9.758766174
587.7856108,-0.021547815,0.155623108,9.749189377
587.8356108,-0.026336219,0.174776718,9.744400978
587.8856108,-0.026336219,0.174776718,9.751583099
587.9356108,-0.026336219,0.177170932,9.746794701
587.9856108,-0.021547815,0.177170932,9.751583099
588.0356108,-0.016759412,0.165199921,9.744400978
588.0856108,-0.023942016,0.174776718,9.758766174
588.1356108,-0.026336219,0.162805721,9.761159897
588.1856108,-0.019153614,0.165199921,9.746794701
588.2356108,-0.016759412,0.16759412,9.746794701
588.2856108,-0.016759412,0.169988319,9.742006302
588.3356108,-0.019153614,0.179565132,9.737217903
588.3856108,-0.023942016,0.177170932,9.751583099
588.4356108,-0.021547815,0.174776718,9.749189377
588.4856108,-0.026336219,0.158017308,9.758766174
588.5356108,-0.026336219,0.174776718,9.739612579
588.5856108,-0.016759412,0.162805721,9.746794701
588.6356108,-0.019153614,0.16759412,9.751583099
588.6856108,-0.026336219,0.160411507,9.746794701
588.7356108,-0.023942016,0.16759412,9.751583099
588.7856108,-0.023942016,0.174776718,9.732429504
588.8356108,-0.016759412,0.179565132,9.761159897
588.8856108,-0.02873042,0.165199921,9.751583099
588.9356108,-0.026336219,0.181959331,9.744400978
588.9856108,-0.026336219,0.162805721,9.737217903
589.0356108,-0.01436521,0.179565132,9.732429504
589.0856108,-0.023942016,0.169988319,9.744400978
589.1356108,-0.023942016,0.169988319,9.749189377
589.1856108,-0.021547815,0.169988319,9.739612579
589.2356108,-0.019153614,0.172382519,9.758766174
589.2856108,-0.02873042,0.169988319,9.756371498
589.3356108,-0.019153614,0.174776718,9.746794701
589.3856108,-0.021547815,0.162805721,9.758766174
589.4356108,-0.026336219,0.165199921,9.753977776
589.4856108,-0.016759412,0.165199921,9.753977776
589.5356108,-0.02873042,0.172382519,9.734824181
589.5856108,-0.019153614,0.172382519,9.751583099
589.6356108,-0.019153614,0.16759412,9.749189377
589.6856108,-0.026336219,0.169988319,9.744400978
589.7356108,-0.02873042,0.165199921,9.737217903
589.7856108,-0.016759412,0.165199921,9.737217903
589.8356108,-0.023942016,0.16759412,9.737217903
589.8856108,-0.033518825,0.160411507,9.746794701
589.9356108,-0.016759412,0.169988319,9.742006302
589.9856108,-0.019153614,0.179565132,9.749189377
590.0356108,-0.016759412,0.169988319,9.749189377
590.0856108,-0.026336219,0.16759412,9.751583099
590.1356108,-0.021547815,0.16759412,9.751583099
590.1856108,-0.021547815,0.16759412,9.737217903
590.2356108,-0.023942016,0.162805721,9.744400978
590.2856108,-0.021547815,0.165199921,9.742006302
590.3356108,-0.023942016,0.174776718,9.749189377
590.3856108,-0.023942016,0.172382519,9.753977776
590.4356108,-0.016759412,0.169988319,9.746794701
590.4856108,-0.026336219,0.162805721,9.744400978
590.5356108,-0.016759412,0.179565132,9.746794701
590.5856108,-0.019153614,0.165199921,9.751583099
590.6356108,-0.021547815,0.177170932,9.763554573
590.6856108,-0.026336219,0.16759412,9.756371498
590.7356108,-0.01436521,0.165199921,9.758766174
590.7856108,-0.031124622,0.172382519,9.753977776
590.8356108,-0.019153614,0.162805721,9.744400978
590.8856108,-0.019153614,0.177170932,9.753977776
590.9356108,-0.021547815,0.169988319,9.742006302
590.9856108,-0.016759412,0.165199921,9.739612579
591.0356108,-0.019153614,0.16759412,9.749189377
591.0856108,-0.016759412,0.16759412,9.758766174
591.1356108,-0.019153614,0.162805721,9.765948296
591.1856108,-0.021547815,0.172382519,9.753977776
591.2356108,-0.021547815,0.16759412,9.749189377
591.2856108,-0.009576807,0.165199921,9.742006302
591.3356108,-0.01436521,0.165199921,9.734824181
591.3856108,-0.021547815,0.162805721,9.746794701
591.4356108,-0.019153614,0.160411507,9.744400978
591.4856108,-0.016759412,0.179565132,9.746794701
591.5356108,-0.01436521,0.172382519,9.744400978
591.5856108,-0.019153614,0.172382519,9.746794701
591.6356108,-0.019153614,0.172382519,9.734824181
591.6856108,-0.019153614,0.155623108,9.746794701
591.7356108,-0.021547815,0.158017308,9.749189377
591.7856108,-0.021547815,0.172382519,9.744400978
591.8356108,-0.016759412,0.169988319,9.744400978
591.8856108,-0.016759412,0.172382519,9.753977776
591.9356108,-0.023942016,0.172382519,9.756371498
591.9856108,-0.021547815,0.174776718,9.746794701
592.0356108,-0.019153614,0.174776718,9.744400978
592.0856108,-0.019153614,0.160411507,9.742006302
592.1356108,-0.033518825,0.169988319,9.744400978
592.1856108,-0.031124622,0.16759412,9.753977776
592.2356108,-0.023942016,0.169988319,9.737217903
592.2856108,-0.023942016,0.177170932,9.737217903
592.3356108,-0.02873042,0.172382519,9.737217903
592.3856108,-0.023942016,0.177170932,9.749189377
592.4356108,-0.019153614,0.179565132,9.727641106
592.4856108,-0.016759412,0.174776718,9.749189377
592.5356108,-0.016759412,0.177170932,9.732429504
592.5856108,-0.019153614,0.172382519,9.737217903
592.6356108,-0.026336219,0.160411507,9.739612579
592.6856108,-0.016759412,0.16759412,9.749189377
592.7356108,-0.01436521,0.174776718,9.744400978
592.7856108,-0.02873042,0.177170932,9.751583099
592.8356108,-0.016759412,0.155623108,9.737217903
592.8856108,-0.026336219,0.169988319,9.746794701
592.9356108,-0.031124622,0.177170932,9.746794701
592.9856108,-0.021547815,0.165199921,9.753977776
593.0356108,-0.026336219,0.169988319,9.746794701
593.0856108,-0.019153614,0.165199921,9.746794701
593.1356108,-0.021547815,0.174776718,9.753977776
593.1856108,-0.021547815,0.162805721,9.756371498
593.2356108,-0.01436521,0.16759412,9.746794701
593.2856108,-0.016759412,0.172382519,9.734824181
593.3356108,-0.02873042,0.177170932,9.753977776
593.3856108,-0.016759412,0.172382519,9.734824181
593.4356108,-0.011971008,0.172382519,9.739612579
593.4856108,-0.026336219,0.172382519,9.753977776
593.5356108,-0.021547815,0.162805721,9.737217903
593.5856108,-0.021547815,0.174776718,9.746794701
593.6356108,-0.021547815,0.169988319,9.737217903
593.6856108,-0.021547815,0.172382519,9.758766174
593.7356108,-0.02873042,0.160411507,9.753977776
593.7856108,-0.026336219,0.165199921,9.742006302
593.8356108,-0.031124622,0.162805721,9.732429504
593.8856108,-0.023942016,0.165199921,9.746794701
593.9356108,-0.021547815,0.16759412,9.742006302
593.9856108,-0.026336219,0.18435353,9.734824181
594.0356108,-0.019153614,0.160411507,9.751583099
594.0856108,-0.01436521,0.174776718,9.751583099
594.1356108,-0.021547815,0.172382519,9.744400978
594.1856108,-0.016759412,0.162805721,9.737217903
594.2356108,-0.021547815,0.177170932,9.749189377
594.2856108,-0.023942016,0.174776718,9.753977776
594.3356108,-0.011971008,0.174776718,9.753977776
594.3856108,-0.016759412,0.165199921,9.746794701
594.4356108,-0.026336219,0.158017308,9.739612579
594.4856108,-0.011971008,0.155623108,9.739612579
594.5356108,-0.021547815,0.172382519,9.739612579
594.5856108,-0.021547815,0.169988319,9.737217903
594.6356108,-0.016759412,0.174776718,9.751583099
594.6856108,-0.019153614,0.162805721,9.734824181
594.7356108,-0.019153614,0.169988319,9.737217903
594.7856108,-0.011971008,0.165199921,9.751583099
594.8356108,-0.02873042,0.177170932,9.756371498
594.8856108,-0.019153614,0.172382519,9.753977776
594.9356108,-0.009576807,0.160411507,9.749189377
594.9856108,-0.023942016,0.172382519,9.744400978
595.0356108,-0.021547815,0.16759412,9.751583099
595.0856108,-0.023942016,0.172382519,9.734824181
595.1356108,-0.019153614,0.174776718,9.753977776
595.1856108,-0.023942016,0.16759412,9.744400978
595.2356108,-0.019153614,0.174776718,9.749189377
595.2856108,-0.016759412,0.169988319,9.737217903
595.3356108,-0.007182605,0.169988319,9.730035782
595.3856108,-0.023942016,0.172382519,9.742006302
595.4356108,-0.031124622,0.165199921,9.746794701
595.4856108,-0.023942016,0.162805721,9.739612579
595.5356108,-0.023942016,0.165199921,9.730035782
595.5856108,-0.023942016,0.165199921,9.737217903
595.6356108,-0.023942016,0.174776718,9.744400978
595.6856108,-0.019153614,0.162805721,9.744400978
595.7356108,-0.01436521,0.16759412,9.746794701
595.7856108,-0.019153614,0.165199921,9.739612579
595.8356108,-0.019153614,0.172382519,9.744400978
595.8856108,-0.026336219,0.165199921,9.742006302
595.9356108,-0.01436521,0.172382519,9.749189377
595.9856108,-0.019153614,0.162805721,9.742006302
596.0356108,-0.019153614,0.169988319,9.737217903
596.0856108,-0.026336219,0.16759412,9.761159897
596.1356108,-0.01436521,0.174776718,9.749189377
596.1856108,-0.021547815,0.16759412,9.742006302
596.2356108,-0.02873042,0.169988319,9.742006302
596.2856108,-0.021547815,0.174776718,9.739612579
596.3356108,-0.019153614,0.162805721,9.742006302
596.3856108,-0.02873042,0.169988319,9.746794701
596.4356108,-0.023942016,0.155623108,9.744400978
596.4856108,-0.016759412,0.165199921,9.758766174
596.5356108,-0.023942016,0.165199921,9.742006302
596.5856108,-0.019153614,0.169988319,9.737217903
596.6356108,-0.019153614,0.165199921,9.751583099
596.6856108,-0.021547815,0.160411507,9.746794701
596.7356108,-0.016759412,0.174776718,9.746794701
596.7856108,-0.026336219,0.172382519,9.751583099
596.8356108,-0.019153614,0.169988319,9.742006302
596.8856108,-0.021547815,0.172382519,9.739612579
596.9356108,-0.021547815,0.169988319,9.737217903
596.9856108,-0.016759412,0.169988319,9.739612579
597.0356108,-0.023942016,0.16759412,9.730035782
597.0856108,-0.016759412,0.181959331,9.744400978
597.1356108,-0.023942016,0.169988319,9.753977776
597.1856108,-0.021547815,0.165199921,9.722852707
597.2356108,-0.01436521,0.177170932,9.746794701
597.2856108,-0.011971008,0.165199921,9.742006302
597.3356108,-0.016759412,0.162805721,9.744400978
597.3856108,-0.023942016,0.169988319,9.734824181
597.4356108,-0.021547815,0.16759412,9.737217903
