Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
576.9356108,0,0.00122173,-0.000610865
576.9856108,0,0,-0.000610865
577.0356108,0.00122173,0.00122173,0
577.0856108,0.000610865,0,0
577.1356108,0.00122173,0,0
577.1856108,0,0,-0.000610865
577.2356108,-0.000610865,0,0.000610865
577.2856108,0.000610865,0.00122173,0
577.3356108,0,-0.000610865,0.000610865
577.3856108,0.001832596,-0.000610865,-0.000610865
577.4356108,0,0,0
577.4856108,0.00122173,-0.000610865,0
577.5356108,-0.000610865,0.000610865,0
577.5856108,0,-0.00122173,-0.00122173
577.6356108,0,0.001832596,0
577.6856108,-0.00122173,0.001832596,-0.000610865
577.7356108,0,0.000610865,0
577.7856108,-0.000610865,-0.000610865,0.000610865
577.8356108,0.000610865,0.00122173,0.000610865
577.8856108,0.000610865,-0.00122173,-0.000610865
577.9356108,0.002443461,0,0
577.9856108,0.00122173,0.000610865,-0.000610865
578.0356108,-0.002443461,-0.000610865,0
578.0856108,0.000610865,0.00122173,0
578.1356108,0,0,0
578.1856108,-0.00122173,0.00122173,-0.000610865
578.2356108,-0.000610865,0.000610865,0
578.2856108,0.00122173,0.00122173,0.000610865
578.3356108,0.000610865,-0.000610865,0.000610865
578.3856108,0.00122173,-0.000610865,-0.001832596
578.4356108,0,0.00122173,-0.000610865
578.4856108,0.00122173,-0.000610865,-0.000610865
578.5356108,0.000610865,0,0.00122173
578.5856108,0,0.000610865,-0.000610865
578.6356108,0.000610865,0,-0.00122173
578.6856108,0,0.000610865,0
578.7356108,0,-0.000610865,-0.00122173
578.7856108,-0.000610865,-0.001832596,0.000610865
578.8356108,-0.000610865,0.000610865,0
578.8856108,0,0,0.000610865
578.9356108,0.000610865,-0.000610865,0.00122173
578.9856108,0.000610865,0.00122173,0.000610865
579.0356108,0,0.00122173,-0.00122173
579.0856108,0,0.001832596,0.00122173
579.1356108,-0.000610865,-0.000610865,-0.000610865
579.1856108,0.000610865,0.001832596,0
579.2356108,0,0,0
579.2856108,0,0.000610865,0
579.3356108,0,-0.00122173,0
579.3856108,0.000610865,0.000610865,0.000610865
579.4356108,0,0.000610865,-0.000610865
579.4856108,-0.000610865,0.001832596,0
579.5356108,0,0.000610865,0.000610865
579.5856108,0.000610865,0,-0.00122173
579.6356108,0,0.00122173,0.000610865
579.6856108,0.00122173,0.00122173,0
579.7356108,0,-0.000610865,-0.000610865
579.7856108,0,-0.000610865,0
579.8356108,0.00122173,0.001832596,-0.000610865
579.8856108,0.000610865,0.000610865,0.000610865
579.9356108,-0.000610865,0,-0.000610865
579.9856108,0.000610865,0.00122173,0.00122173
580.0356108,0.000610865,0,-0.000610865
580.0856108,0,0.00122173,-0.001832596
580.1356108,0,0.001832596,-0.000610865
580.1856108,-0.000610865,0,0
580.2356108,-0.000610865,-0.00122173,-0.000610865
580.2856108,0.000610865,0.00122173,-0.000610865
580.3356108,0,0,-0.000610865
580.3856108,0.00122173,0.000610865,0
580.4356108,0.00122173,0.00122173,-0.000610865
580.4856108,0,0,0
580.5356108,-0.00122173,0.00122173,-0.00122173
580.5856108,0.000610865,0.00122173,-0.000610865
580.6356108,0,0.00122173,0
580.6856108,0.000610865,0.001832596,0
580.7356108,0.00122173,0,-0.000610865
580.7856108,0,0,0
580.8356108,0,-0.00122173,-0.000610865
580.8856108,0.00122173,0,0
580.9356108,0.000610865,0.00122173,-0.000610865
580.9856108,-0.000610865,-0.000610865,0
581.0356108,0.000610865,-0.000610865,0
581.0856108,0.000610865,0,-0.000610865
581.1356108,0.000610865,-0.000610865,0.000610865
581.1856108,0,0,0
581.2356108,0.002443461,-0.000610865,0
581.2856108,0.00122173,0.00122173,0.00122173
581.3356108,0,0,-0.000610865
